E,R,evtID,x,y,z
4.7477913,14610.378,0,8290.779,11995.618,911.74286
3.9197205999999998,14630.141000000001,1,11397.632,5407.4497,-7409.081999999999
3.76594,16820.08,3,-2377.9307,-16317.702,3315.5903
3.217473,13026.938,4,-8617.117,868.5116,9730.985999999999
7.3605266,15190.775,5,4050.2209999999995,9521.761999999999,11121.665
2.1312057999999996,16988.113,7,-2539.481,10027.146,13476.028
6.64076,8583.734,8,4664.218,-1960.1877,-6934.2080000000005
6.7868813999999995,15953.293,9,-12249.327,-8324.337,-5930.174
1.5853506000000002,11830.751,11,5649.1465,-9319.214,4605.0044
2.4570756,13520.528,12,10709.673999999999,-6161.979,5489.771
3.5805643,16082.676000000001,13,-1830.4795,10861.014,11719.223999999998
0.83557004,12824.286,14,-2255.5820000000003,1024.7468,-12582.708999999999
2.2026012,15047.638,17,-9176.341999999999,1712.085,-11802.327
2.099602,11558.622,18,-2354.9463,10582.552,-4008.187
5.145412,16963.674,19,-3124.6592,13295.454,10061.494
6.0006886,15062.15,21,14185.916000000001,3873.7256,-3259.2024
7.2989664,16161.873,22,6935.369000000001,13709.883,5014.571
5.6808352,17124.91,24,5247.7646,-6152.3574,-15095.431
1.0043466,6660.6196,25,6456.8374,118.36913999999999,-1630.6726
7.9302254,17306.73,27,10215.734,-13965.351999999999,361.42175
2.826469,15524.396999999999,30,1323.4939,7093.438,13745.487
7.7986949999999995,16726.838,31,9565.527,8316.253,10914.566
9.145324,15773.491000000002,33,-8664.326,-12569.681,-3966.8135
8.124437,15302.633,35,10741.091999999999,8964.1045,6200.35
5.7613482000000005,16473.533,36,8163.297,13663.658000000001,-4247.629
8.117528,17114.736,37,-486.2463,-1565.8026,17036.021
2.5265412,10991.796999999999,38,7171.2847,780.78815,8293.53
1.5339738,7278.351,39,-2843.5454,-397.43622,6688.1006
0.8151805,16802.4,40,-9266.476999999999,-4755.8213,13184.658000000001
9.97371,17252.865,41,-1933.5912,17070.154,1591.3651
7.123532300000001,14450.375,42,-10327.212,9909.899,-1988.9485
7.4076824000000006,17645.12,43,-8608.968,-4431.984,-14751.048
7.092084,14240.021999999999,44,10167.109,-1637.2959,-9835.008
5.7651057,14322.685,45,945.3516,1441.3314,-14218.585
3.11342,12534.796999999999,47,-12087.707,-3270.2114,-560.52386
3.139407,8211.554,48,-5215.2896,-610.6986,-6313.2734
7.709851,14395.973,50,10916.431,824.67413,-9348.555
8.314819,16855.477,54,14397.944,-8413.963,2451.8347
9.668923,16902.426,55,-12775.956,8850.376,-6643.6284
5.8035045,10078.454,56,-9617.077,1187.6771,2770.647
0.9054809000000001,15689.641000000001,58,11398.155,9991.865,4050.8662
2.5327194,11699.756000000001,59,9995.171,-4058.4648,-4528.764
8.097000000000001,17350.38,61,-4692.9326,8671.158000000001,14276.662
1.6252911,15145.556999999999,62,-4617.2046,-13299.803,5584.3125
8.130684,13853.985,63,5254.715,-8078.6436,9952.708
10.207042,10985.498,66,9319.519,4733.0522,-3380.232
6.2424955,13851.315,68,9916.622,8141.9585,-5218.0513
2.869581,11530.555,70,-8789.369,-1625.6064,7284.0977
0.8215575999999999,11419.07,71,7914.88,8216.903,-482.02396
3.346303,12906.271,72,212.00057999999999,12894.568000000001,506.96783
9.031125,2261.2349,73,1304.4849,-15.111851999999999,-1846.9635
8.949045,16466.744,75,10209.95,1343.8871,-12849.301000000001
4.623925,13362.136999999999,76,10481.318000000001,3302.9207,7601.275
2.9893582000000003,10959.271,77,8570.431,-6515.3076,2050.3943
6.514675,12745.374,79,-12599.161,1684.9799,-930.8845
4.395032,14094.713,81,-437.8407,-10339.37,9569.046
9.799104,9799.193000000001,82,1548.4647,5669.946999999999,-7840.8003
5.187956,17695.502,83,4457.1733,12868.908000000001,-11298.478000000001
0.7026766999999999,6795.6313,84,-1230.3182,948.73816,6615.6494
8.634722,16060.7295,86,-3514.3093,14351.65,6294.981
5.187469,14626.578000000001,87,8692.159,-6634.7256,9714.091999999999
3.7992692000000003,14036.453000000001,88,2924.6392,3976.6135,13139.827
8.229667999999998,17382.508,90,3592.006,-16302.931,4843.9175
10.04579,15042.201000000001,91,10179.681,-5304.8506,-9721.136
9.771317999999999,10290.028,92,-3501.1262,-1940.704,9479.476999999999
4.8133016,15352.288999999999,93,11948.75,8402.216999999999,4724.713
4.5202922999999995,11519.954,95,-6146.6157,-394.5497,9735.132
4.980455999999999,11469.206,97,344.39703,-11371.208,-1455.9183
10.053884,16914.863,98,-16206.972,336.61742999999996,4830.463
9.834286,14185.323,99,14170.91,-595.71545,-231.98347
4.9543605,12223.733,100,-10078.046,-5221.6387,4537.304
2.509608,15405.815,102,-13421.08,-1146.3676,7476.604
5.1675744,15187.403999999999,104,5361.46,14102.323999999999,-1742.5369
8.049577000000001,14305.801000000001,107,-9258.119,4063.0603,-10121.004
9.239231,17460.44,108,11908.318000000001,-8689.874,9356.549
3.6106865,9234.393,109,-787.8461,6982.0234,-5992.05
6.869408999999999,15129.465,110,-6025.4214,10923.126,-8560.393
1.5113705,14743.17,111,-9695.578000000001,3201.653,10635.142
2.909021,15018.751,112,2399.9739,8972.562,11802.378999999999
5.5753794,7128.5283,114,4162.1357,-1296.315,-5640.2227
8.367265,14385.787,116,-4864.115,-12474.216,5261.673000000001
4.80138,12848.059,117,645.501,-5737.809,11477.5205
1.049959,17503.627,119,-15166.53,1164.5536,-8660.089
3.3756546999999997,11041.833,120,-9215.501,1747.0077,-5826.198
9.308952,11534.695,121,8730.844000000001,4439.768,-6091.8
10.418406,10278.89,122,1945.5106,9252.283000000001,-4033.0890000000004
2.4181947999999998,15671.535,123,9067.4,12780.458999999999,197.79092
5.373329599999999,16700.574,124,11130.354,-1022.8816,-12408.793
1.1800538,15900.625,127,-14915.133999999998,-2772.3792,-4762.623
2.9301002,5333.557,129,-4060.0134,1363.8921,-3178.5093
2.1707282,8952.526,131,7447.041,-4927.8584,636.811
1.1658806000000002,16073.966,132,-1356.4248,15646.723,-3422.3633
8.06652,15020.78,133,8086.9614,-7553.533,-10157.216
1.6779464,17673.182,134,13528.502,11310.641000000001,-1179.1444
4.1955843,14925.248,136,-10467.738000000001,1305.9197,10558.601
2.1422863,15675.956,137,7490.5283,13124.16,-4169.4126
1.2601483,15757.268,138,4214.8877,-9855.151,-11549.987
8.7768345,12066.271999999999,141,6302.960999999999,5990.4966,8365.499
7.676089299999999,11881.038,142,5548.3936,8690.614,-5903.1865
2.8716898,13860.568000000001,145,12068.533000000001,1519.5914,6645.0503
10.220632,16613.014,146,-16564.734,1256.2671,-153.6042
9.155959,4584.237,147,-2805.542,1791.1195,3152.1501
5.763698000000001,15331.001,148,-116.1684,15094.7295,-2678.6611
7.042536,17371.916,150,5254.62,3557.5667,16171.461000000001
